"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar Mascotas","Envio de mascota exitoso","SUCCESS","2023-05-02T22:14:22.5643008-05:00[America/Bogota]","0.0","3.99"
"calculadora Rest","Envio de suma exitosa","FAILURE","2023-05-02T22:14:27.7630298-05:00[America/Bogota]","0.0","4.05"
